R246 神奈川県・松田-山北-小山町（県境）,00dc143c
,3521.7146,13900.9832
,3521.7141,13900.9825
,3521.7566,13901.0726
,3521.7724,13901.0855
,3521.7955,13901.0913
,3521.8070,13901.0881
,3521.8538,13901.0707
,3521.8727,13901.0668
,3521.9183,13901.0688
,3521.9451,13901.0720
,3521.9655,13901.0797
,3521.9850,13901.0906
,3521.9949,13901.0997
,3522.0133,13901.1170
,3522.0385,13901.1569
,3522.1183,13901.2658
,3522.1304,13901.2774
,3522.1472,13901.2883
,3522.1892,13901.2993
,3522.1997,13901.3038
,3522.2207,13901.3205
,3522.2385,13901.3430
,3522.2569,13901.3713
,3522.2742,13901.4048
,3522.2910,13901.4576
,3522.2993,13901.4893
,3522.3276,13901.6288
,3522.3270,13901.6773
,3522.3219,13901.7167
,3522.3168,13901.7464
,3522.3053,13901.7730
,3522.2798,13901.8289
,3522.2642,13901.8887
,3522.2423,13901.9438
,3522.2403,13901.9570
,3522.2387,13901.9688
,3522.2419,13902.0262
,3522.2394,13902.0422
,3522.2266,13902.0743
,3522.1156,13902.2403
,3522.0778,13902.2809
,3522.0416,13902.3034
,3521.9413,13902.3375
,3521.9161,13902.3491
,3521.9021,13902.3562
,3521.8834,13902.3701
,3521.8733,13902.3788
,3521.8470,13902.4104
,3521.8243,13902.4423
,3521.8084,13902.4687
,3521.7975,13902.4934
,3521.7894,13902.5185
,3521.7846,13902.5384
,3521.7798,13902.5653
,3521.7745,13902.5944
,3521.7680,13902.6199
,3521.7579,13902.6502
,3521.7523,13902.6620
,3521.7399,13902.6852
,3521.7288,13902.7038
,3521.7131,13902.7295
,3521.6952,13902.7602
,3521.6897,13902.7720
,3521.6849,13902.7887
,3521.6813,13902.8082
,3521.6798,13902.8231
,3521.6793,13902.8383
,3521.6841,13902.8785
,3521.6889,13902.9284
,3521.6889,13902.9421
,3521.6866,13902.9597
,3521.6816,13902.9796
,3521.6415,13903.0994
,3521.6244,13903.1527
,3521.6168,13903.1791
,3521.6115,13903.2076
,3521.6087,13903.2265
,3521.6069,13903.2491
,3521.6064,13903.2698
,3521.6069,13903.2918
,3521.6112,13903.3315
,3521.6149,13903.3900
,3521.6149,13903.4138
,3521.6076,13903.4551
,3521.5971,13903.4872
,3521.5556,13903.5497
,3521.5393,13903.5787
,3521.5257,13903.6160
,3521.5176,13903.6437
,3521.5079,13903.6834
,3521.5019,13903.7201
,3521.4980,13903.7513
,3521.4956,13903.7756
,3521.4954,13903.7904
,3521.4968,13903.8074
,3521.4993,13903.8280
,3521.5072,13903.8753
,3521.5100,13903.9033
,3521.5107,13903.9169
,3521.5081,13903.9415
,3521.5037,13903.9628
,3521.4996,13903.9784
,3521.4919,13903.9995
,3521.4861,13904.0173
,3521.4848,13904.0258
,3521.4845,13904.0428
,3521.4869,13904.0638
,3521.4963,13904.1540
,3521.5053,13904.2423
,3521.5076,13904.2706
,3521.5095,13904.3202
,3521.5128,13904.4012
,3521.5146,13904.4567
,3521.5178,13904.4793
,3521.5254,13904.5221
,3521.5404,13904.5807
,3521.5517,13904.6365
,3521.5554,13904.6659
,3521.5582,13904.7025
,3521.5587,13904.7676
,3521.5547,13904.8777
,3521.5547,13904.9125
,3521.5566,13904.9437
,3521.5622,13904.9794
,3521.5674,13905.0003
,3521.5748,13905.0272
,3521.5961,13905.0850
,3521.6088,13905.1237
,3521.6145,13905.1504
,3521.6189,13905.1787
,3521.6208,13905.2059
,3521.6261,13905.3131
,3521.6298,13905.3406
,3521.6339,13905.3650
,3521.6395,13905.3902
,3521.6457,13905.4085
,3521.6550,13905.4321
,3521.6665,13905.4533
,3521.6783,13905.4742
,3521.6886,13905.4892
,3521.7090,13905.5139
,3521.7510,13905.5541
,3521.7711,13905.5747
,3521.7803,13905.5872
,3521.7854,13905.5988
,3521.7907,13905.6104
,3521.7947,13905.6249
