富士スピードウエイ・本コース,00bfbfbf
,3522.0627,13855.6578
,3522.0453,13855.6471
,3522.0164,13855.6269
,3521.9984,13855.6178
,3521.9882,13855.6112
,3521.9798,13855.6042
,3521.9707,13855.5948
,3521.9576,13855.5768
,3521.9505,13855.5660
,3521.9420,13855.5512
,3521.9235,13855.5207
,3521.9046,13855.4881
,3521.8870,13855.4595
,3521.8805,13855.4481
,3521.8790,13855.4396
,3521.8782,13855.4348
,3521.8819,13855.4273
,3521.8870,13855.4260
,3521.8917,13855.4254
,3521.9006,13855.4256
,3521.9060,13855.4260
,3521.9097,13855.4250
,3521.9145,13855.4213
,3521.9159,13855.4193
,3521.9167,13855.4155
,3521.9171,13855.4133
,3521.9165,13855.4098
,3521.9139,13855.4008
,3521.9121,13855.3953
,3521.9115,13855.3920
,3521.9116,13855.3897
,3521.9099,13855.3701
,3521.9204,13855.3485
,3521.9234,13855.3420
,3521.9300,13855.3301
,3521.9344,13855.3231
,3521.9391,13855.3167
,3521.9435,13855.3111
,3521.9472,13855.3066
,3521.9510,13855.3024
,3521.9538,13855.3000
,3521.9569,13855.2978
,3521.9594,13855.2965
,3521.9641,13855.2950
,3521.9686,13855.2946
,3521.9687,13855.2946
,3521.9721,13855.2946
,3521.9758,13855.2957
,3521.9795,13855.2972
,3521.9834,13855.2994
,3521.9873,13855.3029
,3521.9901,13855.3064
,3521.9927,13855.3107
,3521.9943,13855.3140
,3521.9959,13855.3185
,3521.9973,13855.3237
,3521.9981,13855.3264
,3522.0002,13855.3324
,3522.0034,13855.3394
,3522.0071,13855.3459
,3522.0104,13855.3510
,3522.0141,13855.3559
,3522.0183,13855.3606
,3522.0224,13855.3639
,3522.0248,13855.3654
,3522.0294,13855.3681
,3522.0339,13855.3696
,3522.0380,13855.3707
,3522.0430,13855.3710
,3522.0491,13855.3705
,3522.0549,13855.3691
,3522.0618,13855.3660
,3522.0648,13855.3641
,3522.0686,13855.3612
,3522.0720,13855.3581
,3522.0754,13855.3549
,3522.0773,13855.3527
,3522.0787,13855.3496
,3522.0793,13855.3457
,3522.0787,13855.3418
,3522.0775,13855.3387
,3522.0764,13855.3372
,3522.0745,13855.3354
,3522.0725,13855.3332
,3522.0656,13855.3260
,3522.0575,13855.3175
,3522.0521,13855.3116
,3522.0462,13855.3046
,3522.0422,13855.2995
,3522.0405,13855.2970
,3522.0347,13855.2884
,3522.0302,13855.2805
,3522.0259,13855.2726
,3522.0223,13855.2643
,3522.0191,13855.2567
,3522.0175,13855.2507
,3522.0161,13855.2430
,3522.0155,13855.2364
,3522.0157,13855.2303
,3522.0165,13855.2240
,3522.0176,13855.2198
,3522.0188,13855.2153
,3522.0207,13855.2106
,3522.0234,13855.2049
,3522.0275,13855.1994
,3522.0312,13855.1964
,3522.0357,13855.1943
,3522.0403,13855.1934
,3522.0441,13855.1936
,3522.0473,13855.1944
,3522.0504,13855.1958
,3522.0530,13855.1977
,3522.0558,13855.2002
,3522.0576,13855.2028
,3522.0592,13855.2052
,3522.0624,13855.2102
,3522.0665,13855.2168
,3522.0713,13855.2241
,3522.0754,13855.2308
,3522.0812,13855.2398
,3522.0874,13855.2497
,3522.0940,13855.2601
,3522.0990,13855.2676
,3522.1041,13855.2759
,3522.1211,13855.3023
,3522.1365,13855.3258
,3522.1559,13855.3555
,3522.1813,13855.3945
,3522.1974,13855.4183
,3522.2096,13855.4373
,3522.3369,13855.6288
