静岡県道147号山中湖小山線 小山町上野-柴怒田,00daa520
,3521.8643,13854.2701
,3521.8621,13854.2852
,3521.8636,13854.3347
,3521.8645,13854.3591
,3521.8640,13854.3722
,3521.8616,13854.3844
,3521.8574,13854.4027
,3521.8553,13854.4154
,3521.8560,13854.4240
,3521.8688,13854.4857
,3521.8722,13854.5026
,3521.8689,13854.5422
,3521.8639,13854.5659
,3521.8502,13854.6081
,3521.8403,13854.6458
,3521.8340,13854.6786
,3521.8368,13854.6908
,3521.8493,13854.7170
,3521.8581,13854.7378
,3521.8649,13854.7556
,3521.8696,13854.7642
,3521.8764,13854.7733
,3521.8877,13854.7823
,3521.9140,13854.8019
,3521.9255,13854.8052
,3521.9282,13854.8073
,3521.9291,13854.8113
,3521.9372,13854.8202
,3521.9463,13854.8335
,3521.9507,13854.8448
,3521.9531,13854.8556
,3521.9539,13854.8648
,3521.9544,13854.8721
,3521.9484,13854.9264
,3521.9411,13854.9850
,3521.9365,13855.0135
,3521.9314,13855.0526
,3521.9014,13855.1313
,3521.8994,13855.1339
,3521.8700,13855.2223
,3521.8457,13855.2972
,3521.8190,13855.3767
,3521.7887,13855.4682
,3521.7694,13855.5250
,3521.7535,13855.5766
,3521.7478,13855.5953
,3521.7378,13855.6312
,3521.7356,13855.6402
,3521.7339,13855.6525
,3521.7303,13855.6793
,3521.7278,13855.7001
,3521.7239,13855.7194
,3521.7173,13855.7502
,3521.7149,13855.7698
,3521.7131,13855.8391
,3521.7127,13855.8855
,3521.7127,13855.8952
,3521.7161,13855.9081
,3521.7203,13855.9135
,3521.7273,13855.9198
,3521.7380,13855.9234
,3521.7513,13855.9268
,3521.7647,13855.9297
,3521.7729,13855.9320
,3521.7971,13855.9438
,3521.8245,13855.9624
,3521.8402,13855.9761
,3521.8581,13855.9928
,3521.8686,13856.0025
,3521.8703,13856.0057
,3521.8914,13856.0416
,3521.9114,13856.0761
,3521.9328,13856.1124
,3521.9518,13856.1458
,3521.9647,13856.1670
,3521.9772,13856.1855
,3521.9837,13856.1955
,3521.9898,13856.2059
,3522.0012,13856.2329
,3522.0038,13856.2303
,3522.0155,13856.2494
,3522.0362,13856.2821
,3522.0654,13856.3279
,3522.0846,13856.3606
,3522.1124,13856.4060
,3522.1361,13856.4444
,3522.1556,13856.4748
,3522.1643,13856.4876
,3522.1668,13856.5203
,3522.1682,13856.5352
,3522.1703,13856.5434
,3522.1847,13856.5888
,3522.1971,13856.6287
,3522.2231,13856.6715
,3522.2345,13856.6905
,3522.2525,13856.7214
,3522.2625,13856.7355
,3522.2787,13856.7766
,3522.3005,13856.8339
,3522.3131,13856.8519
,3522.3195,13856.8633
,3522.3238,13856.8702
