R246 静岡県駿東郡小山町-神奈川県足柄上郡山北町境,00dc143c
,3521.4521,13858.2441
,3521.4479,13858.2333
,3521.4416,13858.2241
,3521.4228,13858.1997
,3521.4109,13858.1797
,3521.4037,13858.1624
,3521.4004,13858.1499
,3521.3990,13858.1407
,3521.3963,13858.0892
,3521.3932,13858.0424
,3521.3891,13858.0170
,3521.3860,13858.0078
,3521.3752,13857.9841
,3521.3675,13857.9641
,3521.3636,13857.9492
,3521.3625,13857.9339
,3521.3645,13857.9166
,3521.3780,13857.8841
,3521.3913,13857.8566
,3521.3954,13857.8427
,3521.3973,13857.8322
,3521.3954,13857.8163
,3521.3937,13857.8017
,3521.3777,13857.7512
,3521.3514,13857.6691
,3521.3492,13857.6603
,3521.3468,13857.6423
,3521.3545,13857.5830
,3521.3583,13857.5525
,3521.3597,13857.5237
,3521.3585,13857.5161
,3521.3559,13857.5050
,3521.3516,13857.4948
,3521.3464,13857.4866
,3521.3391,13857.4779
,3521.3315,13857.4723
,3521.3233,13857.4672
,3521.3083,13857.4597
