R246 厚木-松田,00dc143c
,3522.4061,13909.7992
,3522.4244,13909.8088
,3522.4407,13909.8227
,3522.4512,13909.8353
,3522.5114,13909.9193
,3522.6384,13910.0988
,3522.6846,13910.1625
,3522.6970,13910.1871
,3522.7017,13910.2037
,3522.7205,13910.4271
,3522.7198,13910.4638
,3522.6814,13910.6714
,3522.6380,13910.8052
,3522.6291,13910.8451
,3522.6211,13910.9119
,3522.6132,13910.9465
,3522.5736,13911.0508
,3522.5441,13911.1189
,3522.5165,13911.2087
,3522.4819,13911.3047
,3522.4604,13911.3478
,3522.4019,13911.4561
,3522.3337,13911.5993
,3522.3144,13911.6410
,3522.3038,13911.6727
,3522.2970,13911.7015
,3522.2937,13911.7267
,3522.2940,13911.7543
,3522.2972,13911.7814
,3522.3041,13911.8088
,3522.3515,13911.9212
,3522.4212,13912.0794
,3522.6144,13912.5564
,3522.6905,13912.7501
,3522.7598,13912.9298
,3522.7834,13913.0064
,3522.7949,13913.0643
,3522.8049,13913.1461
,3522.8133,13913.2014
,3522.8280,13913.3134
,3522.8390,13913.3990
,3522.8831,13913.7164
,3522.8810,13913.7473
,3522.8763,13913.7788
,3522.8432,13913.8934
,3522.7965,13914.0473
,3522.7860,13914.0814
,3522.7829,13914.1123
,3522.7860,13914.1554
,3522.7902,13914.1805
,3522.8753,13914.3196
,3522.9314,13914.4117
,3522.9508,13914.4451
,3522.9697,13914.4895
,3522.9891,13914.5398
,3523.0054,13914.5932
,3523.0175,13914.6485
,3523.0306,13914.7213
,3523.0432,13914.8867
,3523.0568,13915.0631
,3523.0694,13915.2334
,3523.0778,13915.3126
,3523.0851,13915.3519
,3523.1093,13915.4137
,3523.2017,13915.5559
,3523.2300,13915.6036
,3523.2468,13915.6460
,3523.2825,13915.7426
,3523.3124,13915.8218
,3523.3444,13915.9216
,3523.3628,13915.9969
,3523.3733,13916.0921
,3523.3906,13916.2601
,3523.4220,13916.6368
,3523.4363,13916.7932
,3523.4409,13916.8279
,3523.4503,13916.8723
,3523.4721,13916.9274
,3523.4894,13916.9600
,3523.5501,13917.0604
,3523.6526,13917.2443
,3523.7721,13917.4633
,3523.8711,13917.6577
,3523.9012,13917.7821
,3523.9233,13917.8933
,3523.9611,13918.0031
,3524.0493,13918.2845
,3524.0839,13918.4041
,3524.1830,13918.6426
,3524.2765,13918.8631
,3524.4527,13919.2783
,3524.6178,13919.6722
,3524.7027,13919.8757
,3524.8133,13920.1300
,3524.9176,13920.3538
,3524.9765,13920.4741
,3524.9982,13920.5122
,3525.0456,13920.5722
,3525.2043,13920.7279
,3525.2504,13920.7700
,3525.3192,13920.8702
,3525.3406,13920.8956
,3525.3638,13920.9139
,3525.4751,13920.9722
,3525.5749,13921.0260
,3525.6024,13921.0430
,3525.6737,13921.0951
,3525.7941,13921.2632
,3525.9160,13921.3852
