国道16号 八王子ー入間,00dc143c
,3544.8665,	13920.2503
,3544.8440,	13920.2468
,3544.4019,	13920.2996
,3544.3647,	13920.3121
,3544.0151,	13920.4879
,3543.9872,	13920.5005
,3543.7479,	13920.5726
,3543.7192,	13920.5782
,3543.6333,	13920.5881
,3543.5228,	13920.6173
,3543.4968,	13920.6166
,3543.4720,	13920.6110
,3543.4433,	13920.5944
,3543.3516,	13920.4955
,3543.3240,	13920.4739
,3543.2919,	13920.4559
,3543.2546,	13920.4441
,3543.1391,	13920.4274
,3543.0945,	13920.4184
,3542.9954,	13920.3808
,3542.8622,	13920.3253
,3542.8413,	13920.3218
,3542.6890,	13920.4336
,3542.6225,	13920.4864
,3542.5893,	13920.5314
,3542.4755,	13920.7565
,3542.3573,	13921.0028
,3542.2343,	13920.9426
,3542.0369,	13920.8672
,3541.8172,	13920.7858
,3541.7219,	13920.7479
,3541.6973,	13920.7424
,3541.6721,	13920.7472
,3541.6575,	13920.7568
,3541.6418,	13920.7686
,3541.6250,	13920.7934
,3541.5975,	13920.8597
,3541.5813,	13920.8831
,3541.5639,	13920.9017
,3541.5415,	13920.9094
,3541.5090,	13920.9114
,3541.4871,	13920.9066
,3541.3791,	13920.8676
,3541.3656,	13920.8655
,3541.2440,	13920.8869
,3541.2205,	13920.8883
,3541.2048,	13920.8855
,3541.1863,	13920.8807
,3541.1633,	13920.8696
,3541.1225,	13920.8303
,3541.0914,	13920.7907
,3541.0739,	13920.7747
