国道16号 入間ー大宮BP,00dc143c
,3549.4253,	13922.7651
,3549.5235,	13922.8478
,3549.5388,	13922.8564
,3549.8303,	13922.8018
,3549.8760,	13922.7946
,3549.9111,	13922.7917
,3549.9860,	13922.8047
,3550.0632,	13922.8191
,3550.2130,	13922.8855
,3550.3241,	13922.9346
,3550.3593,	13922.9577
,3550.4049,	13922.9966
,3550.4365,	13923.0313
,3550.4693,	13923.0790
,3550.5114,	13923.1468
,3550.5395,	13923.1786
,3550.6038,	13923.2218
,3550.6971,	13923.3244
,3550.8186,	13923.4276
,3550.8395,	13923.4478
,3550.8548,	13923.4729
,3550.9683,	13923.6765
,3551.0288,	13923.7832
,3551.0508,	13923.8117
,3551.3661,	13924.1101
,3551.5599,	13924.2844
,3551.7176,	13924.3855
,3551.8752,	13924.4887
,3551.9381,	13924.5311
,3551.9576,	13924.5498
,3551.9894,	13924.5845
,3552.0285,	13924.6592
,3552.0383,	13924.6873
,3552.0575,	13924.7517
,3552.1190,	13924.9379
,3552.1798,	13925.1177
,3552.2622,	13925.3741
,3552.2973,	13925.4781
,3552.3186,	13925.5207
,3552.3936,	13925.6092
,3552.4320,	13925.6450
,3552.6373,	13925.8572
,3552.7285,	13925.9543
,3552.8637,	13926.1097
,3553.1015,	13926.4510
,3553.3407,	13926.8003
,3553.4546,	13926.9625
,3553.5417,	13927.1287
,3553.6433,	13927.3192
,3553.7348,	13927.4922
,3553.8305,	13927.6699
,3553.8864,	13927.7639
,3553.9887,	13927.9125
,3554.1056,	13928.0753
,3554.2892,	13928.3164
,3554.3565,	13928.3981
,3554.2312,	13928.5387
,3554.1519,	13928.6292
,3554.1398,	13928.6596
,3554.1218,	13928.7272
,3554.0811,	13928.8968
,3554.0324,	13929.0928
,3554.0178,	13929.1580
,3554.0168,	13929.1627
,3554.0193,	13929.1727
,3554.0229,	13929.1786
,3554.0412,	13929.1937
,3554.0805,	13929.2238
,3554.0855,	13929.2269
,3554.1555,	13929.3096
,3554.2258,	13929.3908
,3554.3179,	13929.4964
,3554.4816,	13929.6862
,3554.5820,	13929.8041
,3554.5946,	13929.8191
,3554.6224,	13929.8422
,3554.6492,	13929.8610
,3554.7557,	13929.9158
,3554.8322,	13929.9559
,3554.8896,	13929.9867
,3554.9409,	13930.0130
,3554.9636,	13930.0264
,3555.0628,	13930.0918
,3555.1466,	13930.1485
,3555.1578,	13930.1618
,3555.1680,	13930.1800
,3555.1767,	13930.2761
,3555.1788,	13930.3515
,3555.1764,	13930.3916
,3555.1694,	13930.4515
,3555.1520,	13930.6040
,3555.1391,	13930.7419
,3555.1293,	13930.8177
,3555.1230,	13930.8590
,3555.1032,	13930.9373
,3555.0761,	13931.0150
,3555.0381,	13931.1296
,3554.9663,	13931.3264
,3554.9352,	13931.4238
,3554.9255,	13931.4629
,3554.9148,	13931.5386
,3554.9088,	13931.6411
,3554.9021,	13931.6834
,3554.8923,	13931.7272
,3554.8800,	13931.7718
,3554.8544,	13931.8487
,3554.8140,	13931.9605
,3554.7750,	13932.0866
,3554.7647,	13932.1378
,3554.7585,	13932.1799
,3554.7559,	13932.2204
,3554.7567,	13932.2456
,3554.7603,	13932.2789
,3554.7660,	13932.3085
,3554.7729,	13932.3243
,3555.1034,	13933.3423
,3555.1466,	13933.4563
,3555.1884,	13933.5502
,3555.3478,	13933.7857
,3555.3969,	13933.8923
,3555.4208,	13933.9770
,3555.4342,	13934.0395
,3555.4371,	13934.0855
,3555.4550,	13934.3633
,3555.4638,	13934.5726
,3555.4758,	13934.8136
,3555.4817,	13934.9405
,3555.4981,	13935.0767
,3555.5369,	13935.2459
,3555.5652,	13935.3306
,3555.6113,	13935.4133
,3555.8350,	13935.6369
,3555.8291,	13935.6571
,3555.7363,	13935.5714
,3555.6458,	13935.4903
,3555.5969,	13935.4248
,3555.5781,	13935.3949
,3555.5552,	13935.3526
,3555.5397,	13935.3134
,3555.5264,	13935.2675
,3555.5202,	13935.2464
,3555.5056,	13935.1927
,3555.4943,	13935.1391
,3555.4823,	13935.0726
,3555.4730,	13935.0107
,3555.4701,	13934.9669
,3555.4672,	13934.9349
,3555.4610,	13934.8144
,3555.4504,	13934.5956
,3555.4455,	13934.5517
,3555.4379,	13934.3681
,3555.4262,	13934.0994
,3555.4224,	13934.0669
,3555.4192,	13934.0306
,3555.4058,	13933.9664
,3555.3838,	13933.8968
,3555.3656,	13933.8572
,3555.3409,	13933.8088
,3555.2814,	13933.7195
,3555.2257,	13933.6381
,3555.1539,	13933.5242
,3555.1260,	13933.4674
,3555.1008,	13933.3985
,3555.0847,	13933.3532
,3555.0715,	13933.3125
,3554.7456,	13932.2927
,3554.7455,	13932.2366
,3554.7493,	13932.1639
,3554.7591,	13932.0958
,3554.7773,	13932.0333
,3554.8226,	13931.8943
,3554.8686,	13931.7628
,3554.8785,	13931.7245
,3554.8898,	13931.6695
,3554.8934,	13931.6362
,3554.9055,	13931.5103
,3554.9147,	13931.4631
,3554.9199,	13931.4325
,3554.9397,	13931.3747
,3554.9805,	13931.2593
,3555.0858,	13930.9549
,3555.0993,	13930.9122
,3555.1110,	13930.8652
,3555.1193,	13930.8137
,3555.1237,	13930.7814
,3555.1282,	13930.7312
,3555.1679,	13930.3750
,3555.1692,	13930.3607
,3555.1601,	13930.1999
,3555.1523,	13930.1726
,3555.1451,	13930.1600
,3555.1393,	13930.1551
,3554.9478,	13930.0308
,3554.8557,	13929.9835
,3554.6489,	13929.8750
,3554.6186,	13929.8543
,3554.5914,	13929.8338
,3554.4456,	13929.6644
,3554.2392,	13929.4226
,3554.0959,	13929.2585
,3554.0662,	13929.2257
,3554.0208,	13929.1897
,3554.0131,	13929.1825
,3554.0102,	13929.1766
,3554.0086,	13929.1698
,3554.0765,	13928.8827
,3554.1158,	13928.7188
,3554.1321,	13928.6515
,3554.1384,	13928.6358
,3554.2254,	13928.5301
,3554.3411,	13928.3969
,3554.2797,	13928.3222
,3554.1542,	13928.1611
,3554.0350,	13927.9978
,3553.8857,	13927.7829
,3553.8143,	13927.6636
,3553.7535,	13927.5497
,3553.7022,	13927.4549
,3553.5353,	13927.1384
,3552.8316,	13926.0962
,3552.3893,	13925.6186
,3552.3230,	13925.5506
,3552.2882,	13925.4972
,3552.2141,	13925.2757
,3552.0191,	13924.6745
,3551.9898,	13924.6191
,3551.9502,	13924.5638
,3551.9095,	13924.5277
,3551.6966,	13924.3964
,3551.5860,	13924.3243
,3551.4950,	13924.2511
,3551.1840,	13923.9627
,3551.0796,	13923.8623
,3551.0217,	13923.7896
,3550.9628,	13923.6878
,3550.8507,	13923.4867
,3550.8298,	13923.4546
,3550.8199,	13923.4436
,3550.7249,	13923.3625
,3550.6790,	13923.3155
,3550.5877,	13923.2260
,3550.5351,	13923.1948
,3550.5223,	13923.1806
,3550.5138,	13923.1711
,3550.4826,	13923.1201
,3550.4553,	13923.0727
,3550.4310,	13923.0421
,3550.3844,	13922.9900
,3550.3559,	13922.9669
,3550.3289,	13922.9500
,3550.1147,	13922.8521
,3550.0783,	13922.8376
,3550.0428,	13922.8261
,3549.9438,	13922.8071
,3549.9118,	13922.8029
,3549.8661,	13922.8055
,3549.7775,	13922.8221
,3549.5453,	13922.8661
,3549.5277,	13922.8678
,3549.5192,	13922.8636
,3549.4535,	13922.8077
