R246 多摩川-厚木,00dc143c
,3528.7077,13926.4937
,3528.7065,13926.5744
,3528.7166,13926.6295
,3528.7608,13926.7529
,3528.7994,13926.8399
,3528.9018,13927.0984
,3528.9574,13927.2288
,3529.0225,13927.3964
,3529.0927,13927.5688
,3529.1919,13927.7551
,3529.2273,13927.8063
,3529.2425,13927.8233
,3529.3183,13927.8086
,3529.4618,13927.7892
,3529.5003,13927.7993
,3529.5900,13927.8428
,3529.6128,13927.8583
,3529.8125,13927.9507
,3529.8764,13927.9778
,3529.9111,13927.9871
,3529.9743,13928.0167
,3530.0201,13928.0353
,3530.0693,13928.0878
,3530.1338,13928.1476
,3530.1657,13928.1711
,3530.1799,13928.1911
,3530.3616,13928.3486
,3530.4224,13928.4052
,3530.4430,13928.4149
,3530.5950,13928.5492
,3530.7129,13928.6483
,3530.7533,13928.6852
,3530.8055,13928.7529
,3530.8474,13928.8040
,3530.9747,13928.9059
,3531.0705,13928.9818
,3531.1676,13929.0584
,3531.2640,13929.1792
,3531.3244,13929.2590
,3531.4863,13929.4706
,3531.5635,13929.5686
,3531.5908,13929.6149
,3531.6149,13929.6802
,3531.6510,13929.8189
,3531.6826,13929.9335
,3531.6854,13929.9460
,3531.7273,13930.0196
,3531.8833,13930.2246
,3531.9902,13930.3622
,3532.1439,13930.5476
,3532.3141,13930.7533
,3532.3554,13930.8082
,3532.3893,13930.8721
,3532.4763,13931.0653
,3532.5900,13931.3070
,3532.6923,13931.5203
,3532.7980,13931.7370
,3532.8907,13931.9274
,3532.9925,13932.1330
,3533.1344,13932.4172
,3533.2949,13932.7555
,3533.4548,13933.0737
,3533.5605,13933.3318
,3533.5692,13933.3519
,3533.6789,13933.5350
,3533.7089,13933.5739
,3533.7543,13933.6205
,3533.7671,13933.6264
,3533.8603,13933.7167
,3533.8640,13933.7236
,3533.8905,13933.7393
,3534.0293,13933.8308
,3534.1607,13933.9266
,3534.2313,13933.9980
,3534.3104,13934.0644
,3534.3946,13934.1148
,3534.4214,13934.1421
,3534.4674,13934.2141
,3534.4805,13934.2498
,3534.5078,13934.3848
,3534.5658,13934.5989
,3534.6489,13934.9830
,3534.7280,13935.3412
,3534.7941,13935.4837
