Script started on Tue May 23 18:48:17 2017
bash-3.2$ exitclearat g000.csvbash-3.2$ ls[Kscreen /dev/tty.G-Rays1-SPPslave
[?1h=[0m(B[1;24r[H[J[H[J5.700,A,3540.4432,N,13943.1907,E,0.64,242.29,230517,,,A*6F
$GPRMC,094959.800,A,3540.5010,N,13943.1412,E,16.88,268.67,230517,,,A*5A
$GPRMC,094959.900,A,3540.5010,N,13943.1406,E,17.13,268.37,230517,,,A*58
$GPRMC,095000.000,A,3540.5009,N,13943.1399,E,17.36,268.03,230517,,,A*5C
$GPRMC,095000.100,A,3540.5009,N,13943.1392,E,17.61,267.82,230517,,,A*52
$GPRMC,095000.200,A,3540.5009,N,13943.1385,E,17.84,267.60,230517,,,A*50
$GPRMC,095000.300,A,3540.5009,N,13943.1378,E,18.08,267.37,230517,,,A*5A
$GPRMC,095000.400,A,3540.5008,N,13943.1371,E,18.31,267.28,230517,,,A*51
$GPRMC,095000.500,A,3540.5008,N,13943.1364,E,18.52,267.21,230517,,,A*58
$GPRMC,095000.600,A,3540.5008,N,13943.1356,E,18.74,267.16,230517,,,A*5A
$GPRMC,095000.700,A,3540.5008,N,13943.1349,E,18.92,267.19,230517,,,A*52
$GPRMC,095000.800,A,3540.5008,N,13943.1342,E,19.11,267.29,230517,,,A*5F
$GPRMC,095000.900,A,3540.5008,N,13943.1334,E,19.28,267.36,230517,,,A*5B
$GPRMC,095001.000,A,3540.5008,N,13943.1327,E,19.46,267.40,230517,,,A*58
$GPRMC,095001.100,A,3540.5008,N,13943.1320,E,19.62,267.48,230517,,,A*50
$GPRMC,095001.200,A,3540.5008,N,13943.1312,E,19.78,267.60,230517,,,A*53
$GPRMC,095001.300,A,3540.5008,N,13943.1305,E,19.94,267.70,230517,,,A*57
$GPRMC,095001.400,A,3540.5008,N,13943.1297,E,20.08,267.85,230517,,,A*5F
$GPRMC,095001.500,A,3540.5009,N,13943.1290,E,20.20,267.97,230517,,,A*51
$GPRMC,095001.600,A,3540.5009,N,13943.1282,E,20.33,268.12,230517,,,A*51
$GPRMC,095001.700,A,3540.5009,N,13943.1275,E,20.46,268.29,230517,,,A*52
$GPRMC,095001.800,A,3540.5009,N,13943.1267,E,20.59,268.46,230517,,,A*59
$GPRMC,095001.900,A,3540.5010,N,13943.1259,E,20.72,268.70,230517,,,A*51
$GPRMC,095002.000,A,3540.5010,N,13943.1252,E,20.84,268.93,230517,,,A*54
$GPRMC,095002.100,A,3540.5011,N,13943.1244,E,20.96,269.21,230517,,,A*58
$GPRMC,095002.200,A,3540.5011,N,13943.1236,E,21.06,269.49,230517,,,A*58
$GPRMC,095002.300,A,3540.5012,N,13943.1228,E,21.13,269.73,230517,,,A*58
$GPRMC,095002.400,A,3540.5012,N,13943.1221,E,21.23,270.00,230517,,,A*59
$GPRMC,095002.500,A,3540.5013,N,13943.1213,E,21.30,270.35,230517,,,A*5C
$GPRMC,095002.600,A,3540.5014,N,13943.1205,E,21.40,270.68,230517,,,A*50
$GPRMC,095002.700,A,3540.5015,N,13943.1197,E,21.49,271.00,230517,,,A*5E
$GPRMC,095002.800,A,3540.5016,N,13943.1189,E,21.58,271.38,230517,,,A*56
$GPRMC,095002.900,A,3540.5017,N,13943.1181,E,21.68,271.75,230517,,,A*54
$GPRMC,095003.000,A,3540.5018,N,13943.1173,E,21.75,272.27,230517,,,A*56
$GPRMC,095003.100,A,3540.5019,N,13943.1165,E,21.83,272.74,230517,,,A*5E
$GPRMC,095003.200,A,3540.5021,N,13943.1157,E,21.89,273.27,230517,,,A*5A
$GPRMC,095003.300,A,3540.5022,N,13943.1149,E,21.97,273.79,230517,,,A*53
$GPRMC,095003.400,A,3540.5024,N,13943.1141,E,22.03,274.34,230517,,,A*5A
$GPRMC,095003.500,A,3540.5026,N,13943.1133,E,22.11,274.92,230517,,,A*53
$GPRMC,095003.600,A,3540.5028,N,13943.1125,E,22.16,275.53,230517,,,A*52
$GPRMC,095003.700,A,3540.5030,N,13943.1117,E,22.22,276.15,230517,,,A*5D
$GPRMC,095003.800,A,3540.5032,N,13943.1109,E,22.28,276.82,230517,,,A*5B
$GPRMC,095003.900,A,3540.5034,N,13943.1101,E,22.33,277.35,230517,,,A*53
$GPRMC,095004.000,A,3540.5036,N,13943.1093,E,22.35,277.93,230517,,,A*5F
$GPRMC,095004.100,A,3540.5039,N,13943.1085,E,22.40,278.56,230517,,,A*52
$GPRMC,095004.200,A,3540.5041,N,13943.1077,E,22.43,279.21,230517,,,A*51
$GPRMC,095004.300,A,3540.5044,N,13943.1069,E,22.48,279.80,230517,,,A*5A
$GPRMC,095004.400,A,3540.5046,N,13943.1061,E,22.51,280.35,230517,,,A*57
$GPRMC,095004.500,A,3540.5049,N,13943.1053,E,22.54,281.00,230517,,,A*5A
$GPRMC,095004.600,A,3540.5051,N,13943.1045,E,22.56,281.61,230517,,,A*52
$GPRMC,095004.700,A,3540.5054,N,13943.1037,E,22.73,282.11,230517,,,A*50
$GPRMC,095004.800,A,3540.5057,N,13943.1028,E,22.93,282.63,230517,,,A*59
$GPRMC,095004.900,A,3540.5060,N,13943.1020,E,23.03,283.05,230517,,,A*5D
$GPRMC,095005.000,A,3540.5063,N,13943.1011,E,23.15,283.40,230517,,,A*52
$GPRMC,095005.100,A,3540.5065,N,13943.1003,E,23.27,283.74,230517,,,A*50
$GPRMC,095005.200,A,3540.5068,N,13943.0994,E,23.39,284.08,230517,,,A*5B
$GPRMC,095005.300,A,3540.5071,N,13943.0986,E,23.49,284.43,230517,,,A*59
$GPRMC,095005.400,A,3540.5074,N,13943.0978,E,23.59,284.77,230517,,,A*5C
$GPRMC,095005.500,A,3540.5077,N,13943.0969,E,23.69,285.29,230517,,,A*57
$GPRMC,095005.600,A,3540.5080,N,13943.0961,E,23.79,285.65,230517,,,A*5D
$GPRMC,095005.700,A,3540.5083,N,13943.0952,E,23.87,285.99,230517,,,A*5D
$GPRMC,095005.800,A,3540.5086,N,13943.0944,E,23.93,286.42,230517,,,A*50
$GPRMC,095005.900,A,3540.5090,N,13943.0936,E,24.00,286.75,230517,,,A*5A
$GPRMC,095006.000,A,3540.5093,N,13943.0928,E,24.04,287.10,230517,,,A*5A
$GPRMC,095006.100,A,3540.5096,N,13943.0920,E,24.05,287.40,230517,,,A*52
$GPRMC,095006.200,A,3540.5099,N,13943.0912,E,24.06,287.71,230517,,,A*5E
$GPRMC,095006.300,A,3540.5102,N,13943.0904,E,24.06,288.05,230517,,,A*57
$GPRMC,095006.400,A,3540.5105,N,13943.0896,E,24.05,288.39,230517,,,A*51
$GPRMC,095006.500,A,3540.5108,N,13943.0889,E,23.99,288.73,230517,,,A*5F
$GPRMC,095006.600,A,3540.5111,N,13943.0881,E,23.97,289.11,230517,,,A*57
$GPRMC,095006.700,A,3540.5115,N,13943.0873,E,23.93,289.52,230517,,,A*5C
$GPRMC,095006.800,A,3540.5119,N,13943.0865,E,23.88,289.97,230517,,,A*5B
$GPRMC,095006.900,A,3540.5123,N,13943.0858,E,23.83,290.43,230517,,,A*57
$GPRMC,095007.000,A,3540.5126,N,13943.0850,E,23.82,290.82,230517,,,A*5E
$GPRMC,095007.100,A,3540.5131,N,13943.0843,E,23.77,291.51,230517,,,A*5E
