Script started on Wed May 24 18:43:58 2017
bash-3.2$ exitscreen screen /dev/tty.G-Rays1-SPPslave
[?1h=[0m(B[1;24r[H[J[H[J[H[JÉ5)ÿ$GPRMC,094546.300,A,3541.3151,N,13944.7049,E,11.40,97.79,240517,,,D*67
$GPRMC,094546.400,A,3541.3149,N,13944.7053,E,11.40,97.87,240517,,,D*63
$GPRMC,094546.500,A,3541.3148,N,13944.7057,E,11.45,97.77,240517,,,D*6D
$GPRMC,094546.600,A,3541.3146,N,13944.7060,E,11.46,97.81,240517,,,D*6E
$GPRMC,094546.700,A,3541.3145,N,13944.7065,E,11.51,97.87,240517,,,D*69
$GPRMC,094546.800,A,3541.3143,N,13944.7068,E,11.50,97.89,240517,,,D*62
$GPRMC,094546.900,A,3541.3142,N,13944.7072,E,11.53,97.91,240517,,,D*63
$GPRMC,094547.000,A,3541.3140,N,13944.7076,E,11.56,97.98,240517,,,D*61
$GPRMC,094547.100,A,3541.3138,N,13944.7080,E,11.60,98.07,240517,,,D*6A
$GPRMC,094547.200,A,3541.3136,N,13944.7084,E,11.62,98.30,240517,,,D*65
$GPRMC,094547.300,A,3541.3134,N,13944.7088,E,11.63,98.55,240517,,,D*68
$GPRMC,094547.400,A,3541.3132,N,13944.7092,E,11.66,98.76,240517,,,D*66
$GPRMC,094547.500,A,3541.3130,N,13944.7096,E,11.67,98.94,240517,,,D*6C
$GPRMC,094547.600,A,3541.3129,N,13944.7100,E,11.63,98.93,240517,,,D*6A
$GPRMC,094547.700,A,3541.3127,N,13944.7103,E,11.59,99.10,240517,,,D*65
$GPRMC,094547.800,A,3541.3126,N,13944.7107,E,11.57,99.19,240517,,,D*68
$GPRMC,094547.900,A,3541.3124,N,13944.7111,E,11.52,99.33,240517,,,D*61
$GPRMC,094548.000,A,3541.3123,N,13944.7114,E,11.48,99.53,240517,,,D*68
$GPRMC,094548.100,A,3541.3121,N,13944.7118,E,11.41,99.77,240517,,,D*68
$GPRMC,094548.200,A,3541.3119,N,13944.7122,E,11.36,99.98,240517,,,D*68
$GPRMC,094548.300,A,3541.3117,N,13944.7125,E,11.32,100.26,240517,,,D*50
$GPRMC,094548.400,A,3541.3115,N,13944.7129,E,11.24,100.61,240517,,,D*5D
$GPRMC,094548.500,A,3541.3114,N,13944.7132,E,11.15,101.03,240517,,,D*50
$GPRMC,094548.600,A,3541.3112,N,13944.7135,E,11.03,101.50,240517,,,D*53
$GPRMC,094548.700,A,3541.3109,N,13944.7139,E,10.92,101.95,240517,,,D*54
$GPRMC,094548.800,A,3541.3107,N,13944.7142,E,10.79,102.56,240517,,,D*50
$GPRMC,094548.900,A,3541.3105,N,13944.7145,E,10.67,103.21,240517,,,D*5A
$GPRMC,094549.000,A,3541.3102,N,13944.7148,E,10.56,103.89,240517,,,D*58
$GPRMC,094549.100,A,3541.3100,N,13944.7151,E,10.43,104.77,240517,,,D*51
$GPRMC,094549.200,A,3541.3097,N,13944.7154,E,10.30,105.68,240517,,,D*53
$GPRMC,094549.300,A,3541.3094,N,13944.7157,E,10.18,106.71,240517,,,D*53
$GPRMC,094549.400,A,3541.3091,N,13944.7160,E,10.05,107.82,240517,,,D*54
$GPRMC,094549.500,A,3541.3088,N,13944.7162,E,9.93,109.14,240517,,,D*69
$GPRMC,094549.600,A,3541.3085,N,13944.7165,E,9.82,110.60,240517,,,D*6B
$GPRMC,094549.700,A,3541.3082,N,13944.7168,E,9.74,111.95,240517,,,D*62
$GPRMC,094549.800,A,3541.3078,N,13944.7171,E,9.65,113.42,240517,,,D*68
$GPRMC,094549.900,A,3541.3075,N,13944.7173,E,9.53,115.02,240517,,,D*61
$GPRMC,094550.000,A,3541.3072,N,13944.7176,E,9.39,116.73,240517,,,D*6B
$GPRMC,094550.100,A,3541.3069,N,13944.7178,E,9.28,118.44,240517,,,D*64
$GPRMC,094550.200,A,3541.3066,N,13944.7180,E,9.16,120.12,240517,,,D*6A
$GPRMC,094550.300,A,3541.3062,N,13944.7182,E,9.06,121.88,240517,,,D*6E
$GPRMC,094550.400,A,3541.3059,N,13944.7184,E,8.97,123.73,240517,,,D*68
$GPRMC,094550.500,A,3541.3055,N,13944.7186,E,8.88,125.76,240517,,,D*6A
$GPRMC,094550.600,A,3541.3052,N,13944.7188,E,8.80,127.72,240517,,,D*6E
$GPRMC,094550.700,A,3541.3048,N,13944.7189,E,8.73,129.66,240517,,,D*62
$GPRMC,094550.800,A,3541.3045,N,13944.7191,E,8.68,131.61,240517,,,D*6D
$GPRMC,094550.900,A,3541.3041,N,13944.7193,E,8.63,133.58,240517,,,D*69
$GPRMC,094551.000,A,3541.3037,N,13944.7194,E,8.57,135.63,240517,,,D*6E
$GPRMC,094551.100,A,3541.3034,N,13944.7196,E,8.54,137.80,240517,,,D*62
$GPRMC,094551.200,A,3541.3030,N,13944.7197,E,8.53,139.89,240517,,,D*64
$GPRMC,094551.300,A,3541.3026,N,13944.7198,E,8.52,141.96,240517,,,D*6D
$GPRMC,094551.400,A,3541.3023,N,13944.7199,E,8.54,144.02,240517,,,D*60
$GPRMC,094551.500,A,3541.3019,N,13944.7200,E,8.55,146.12,240517,,,D*69
$GPRMC,094551.600,A,3541.3015,N,13944.7202,E,8.57,148.21,240517,,,D*68
$GPRMC,094551.700,A,3541.3011,N,13944.7203,E,8.61,150.28,240517,,,D*69
$GPRMC,094551.800,A,3541.3007,N,13944.7203,E,8.68,152.39,240517,,,D*6A
$GPRMC,094551.900,A,3541.3003,N,13944.7204,E,8.76,154.38,240517,,,D*60
